title,author,publisher,publication_date,discount,price,url
焦慮是你的隱性天賦：倫敦大學心理諮商博士帶你看清負面情緒的強大力量,尹依依,圓神,2021-10-01,79,237,https://www.books.com.tw/products/0010903350?loc=P_0005_076
衝破黨禁1986：民進黨創黨關鍵十日紀實,王曉玟,圓神,2021-09-01,9,450,https://www.books.com.tw/products/0010900443?loc=P_0005_077
社會在走，歷史要懂：呂捷開講,呂捷,圓神,2021-09-01,79,260,https://www.books.com.tw/products/0010900428?loc=P_0005_078
法治大國的日常小事,鄭華娟,圓神,2021-08-01,9,315,https://www.books.com.tw/products/0010897783?loc=P_0005_079
達賴喇嘛談心經【好讀大字版】,達賴喇嘛,圓神,2021-08-01,9,279,https://www.books.com.tw/products/0010897786?loc=P_0005_080
什麼樣的禮物可以拯救你的人生?,伊蒂特．伊娃．伊格,圓神,2021-08-01,9,297,https://www.books.com.tw/products/0010897756?loc=P_0005_081
鬼滅的暗號：從角色、故事、戰鬥、時代、紋樣、聖地，解密《鬼滅之刃》,瀧音能之,圓神,2021-07-01,7,224,https://www.books.com.tw/products/0010894691?loc=P_0005_082
那一年，那些沒人說的故事,少女老王,圓神,2021-07-01,9,288,https://www.books.com.tw/products/0010894704?loc=P_0005_083
不能只有我看到!臺灣史上的小人物大有事,故事StoryStudio,圓神,2021-06-01,9,351,https://www.books.com.tw/products/0010892398?loc=P_0005_084
解鎖尼的冷姿勢,尼胖,圓神,2021-06-01,9,342,https://www.books.com.tw/products/0010892424?loc=P_0005_085
你羨慕我的溫暖，但我手很冰,馬卡龍腳趾（Chi）,圓神,2021-05-01,9,324,https://www.books.com.tw/products/0010889429?loc=P_0005_086
喜歡不了自己，那就從不討厭開始,涵寶寶,圓神,2021-05-01,9,288,https://www.books.com.tw/products/0010889438?loc=P_0005_087
深夜保健室,"深夜保健室節目製作團隊與醫師專家群,鄭家純",圓神,2021-04-07,9,405,https://www.books.com.tw/products/0010886804?loc=P_0005_088
「獺祭」的挑戰：從深山揚名世界的日本酒傳奇,弘兼憲史,圓神,2021-04-01,79,229,https://www.books.com.tw/products/0010886768?loc=P_0005_089
64【全球盛讚推崇，橫山秀夫經典鉅作】,橫山秀夫,圓神,2021-04-01,9,513,https://www.books.com.tw/products/0010886786?loc=P_0005_090
是我未經允許就喜歡了你,3am.talk,圓神,2021-04-01,9,315,https://www.books.com.tw/products/0010886832?loc=P_0005_091
藍月升起：送你18個快樂處方,陳創農,圓神,2021-03-03,9,261,https://www.books.com.tw/products/0010884660?loc=P_0005_092
我竟然把我自己的肚子搞大了,朱佩慧,圓神,2021-02-01,9,288,https://www.books.com.tw/products/0010881927?loc=P_0005_093
全世界最感人的生物學：用力的活，燦爛的死,稻垣榮洋,圓神,2021-02-01,9,261,https://www.books.com.tw/products/0010881904?loc=P_0005_094
吳淡如白話經典套書︰金瓶梅、鏡花緣,"吳淡如,李汝珍,蘭陵笑笑生",圓神,2021-02-01,9,513,https://www.books.com.tw/products/0010881919?loc=P_0005_095
三十而已，最好的明天還在等你,李尚龍,圓神,2021-01-01,9,261,https://www.books.com.tw/products/0010879065?loc=P_0005_096
神住宿：超值星級體驗，精選全台13間寺廟、教會,943,圓神,2021-01-01,75,292,https://www.books.com.tw/products/0010879070?loc=P_0005_097
英雄時代,席慕蓉,圓神,2020-12-01,9,360,https://www.books.com.tw/products/0010876393?loc=P_0005_098
胡馬依北風,席慕蓉,圓神,2020-12-01,9,333,https://www.books.com.tw/products/0010876396?loc=P_0005_099
自己的力學：找到喜歡又做得好的事,洪瀞,圓神,2020-12-01,9,333,https://www.books.com.tw/products/0010876408?loc=P_0005_100
北光,橫山秀夫,圓神,2020-12-01,9,396,https://www.books.com.tw/products/0010876419?loc=P_0005_001
你值得被理解,小姿,圓神,2020-11-01,9,252,https://www.books.com.tw/products/0010873956?loc=P_0005_002
不完美的11歲,"凱莉哥,小露",圓神,2020-11-01,9,360,https://www.books.com.tw/products/0010873963?loc=P_0005_003
C30登機門的心靈旅程：改變一生的六場邂逅,馬修‧莫克理奇,圓神,2020-10-01,9,279,https://www.books.com.tw/products/0010870622?loc=P_0005_004
黑鑽定律：哈佛頂尖1%人士成就卓越的祕密,鄭周榮,圓神,2020-10-01,9,297,https://www.books.com.tw/products/0010870623?loc=P_0005_005
線，畫出的我【橫濱流星電影與原著小說雙書封珍藏版】,砥上裕將,圓神,2020-10-01,9,315,https://www.books.com.tw/products/0010870630?loc=P_0005_006
寫我的字，等你的清晨,默雨清晨,圓神,2020-09-01,9,324,https://www.books.com.tw/products/0010867770?loc=P_0005_007
不是所有親密關係都叫做愛情,陳雪,圓神,2020-09-01,9,315,https://www.books.com.tw/products/0010867752?loc=P_0005_008
你敢不敢一起來?：路邊攤詭誌錄,路邊攤,圓神,2020-08-01,66,217,https://www.books.com.tw/products/0010864590?loc=P_0005_009
那個病人，我人生的醫生,艾倫．狄維瑟,圓神,2020-08-01,9,297,https://www.books.com.tw/products/0010864592?loc=P_0005_010
斜槓青年【實踐版】：成為內控者，建立幸福人生的正向迴圈,Susan Kuang,圓神,2020-08-01,79,252,https://www.books.com.tw/products/0010864593?loc=P_0005_011
今天不挑戰，和張雅琴開心學英文,張雅琴,圓神,2020-07-01,9,288,https://www.books.com.tw/products/0010861692?loc=P_0005_012
遺跡訪詭錄,路邊攤,圓神,2020-07-01,66,204,https://www.books.com.tw/products/0010861700?loc=P_0005_013
幸好不漂亮,蕭綽,圓神,2020-06-01,9,252,https://www.books.com.tw/products/0010858361?loc=P_0005_014
幸好不漂亮 (電子書),蕭綽,圓神,2020-06-01,,196,https://www.books.com.tw/products/E050068784?loc=P_0005_015
節慶與預感【蜜蜂與遠雷‧沒說完的故事】,恩田陸,圓神,2020-06-01,9,279,https://www.books.com.tw/products/0010858403?loc=P_0005_016
節慶與預感【蜜蜂與遠雷‧沒說完的故事】 (電子書),恩田陸,圓神,2020-06-01,,217,https://www.books.com.tw/products/E050068785?loc=P_0005_017
所謂時間管理，就是選擇性放棄：上萬人成功驗證，時間規畫師的八大精簡法則,少毅,圓神,2020-05-01,79,205,https://www.books.com.tw/products/0010855824?loc=P_0005_018
當最親的人成為傷痕,黃之盈,圓神,2020-05-01,79,252,https://www.books.com.tw/products/0010855839?loc=P_0005_019
劍魂如初3：惟願星辰,懷觀,圓神,2020-05-01,9,288,https://www.books.com.tw/products/0010855841?loc=P_0005_020
劍魂如初3：惟願星辰 (電子書),懷觀,圓神,2020-05-01,,224,https://www.books.com.tw/products/E050067345?loc=P_0005_021
當最親的人成為傷痕 (電子書),黃之盈,圓神,2020-05-01,,224,https://www.books.com.tw/products/E050067348?loc=P_0005_022
所謂時間管理，就是選擇性放棄：上萬人成功驗證，時間規畫師的八大精簡法則 (電子書),少毅,圓神,2020-05-01,,182,https://www.books.com.tw/products/E050067562?loc=P_0005_023
比鬼故事更可怕的是你我身邊的故事,少女老王,圓神,2020-04-01,79,260,https://www.books.com.tw/products/0010852868?loc=P_0005_024
