attr,cate,rank,title,author,price,page,date,type,discount,price_
7,01,23,長安的荔枝,馬伯庸,優惠價：79折300元,tops,2024-08-05 11:41:13,topsales,79,300
7,01,24,藥師謀殺案：全球狂銷突破1.000.000冊！《讀者文摘》、《時尚》雜誌年度選書,莎拉．佩納,優惠價：79折308元,tops,2024-08-05 11:41:13,topsales,79,308
7,01,25,在夏日【博客來獨家印簽版】,星溧Seongryul,優惠價：85折357元,tops,2024-08-05 11:41:13,topsales,85,357
7,01,26,海邊的房間（一輪復刻版）,黃麗群,優惠價：79折331元,tops,2024-08-05 11:41:13,topsales,79,331
7,01,27,黑水：榮登澳洲暢銷榜No.1！全球現象級驚悚小說，系列銷售突破2.000.000冊！,羅伯．布林澤,優惠價：79折363元,tops,2024-08-05 11:41:13,topsales,79,363
7,01,28,謀殺藝術大學院（博客來獨家贈「麥克馬斯特學院校景暨執刑指南珍藏卡」）,魯伯特‧荷姆斯,優惠價：79折394元,tops,2024-08-05 11:41:13,topsales,79,394
7,01,29,三體系列燙銀簽名套書,劉慈欣,優惠價：75折1012元,tops,2024-08-05 11:41:13,topsales,75,1012
7,01,30,獅子的點心：2020本屋大賞TOP2！小川糸全新小說，感淚必至！,小川糸,優惠價：79折284元,tops,2024-08-05 11:41:13,topsales,79,284
7,01,31,和魔女共度的七天,東野圭吾,優惠價：79折316元,tops,2024-08-05 11:41:13,topsales,79,316
7,01,32,她她：史上最夢幻連動！7位小說名家╳7位人氣繪師！最璀璨絕美的百合之愛！【首刷限定．作者印刷簽名扉 +「百合‧盛開」明信片組！（7款隨機贈送2款）】,"織守きょうや,青崎有吾,武田綾乃,圓居挽,斜線堂有紀,乾胡桃,相澤沙呼",優惠價：79折355元,tops,2024-08-05 11:41:13,topsales,79,355
7,01,33,渺小一生（上、下冊）,柳原漢雅,優惠價：75折690元,tops,2024-08-05 11:41:13,topsales,75,690
7,01,34,活著(經典珍藏版),余華,優惠價：79折252元,tops,2024-08-05 11:41:13,topsales,79,252
7,01,35,哈利波特1-7【繁體中文版20週年紀念】 (7冊合售),J.K.羅琳,優惠價：73折3260元,tops,2024-08-05 11:41:13,topsales,73,3260
7,01,36,小貓料亭營業中,高橋由太,優惠價：79折252元,tops,2024-08-05 11:41:13,topsales,79,252
7,01,37,心願麵包店：韓國暢銷突破50萬冊超暖心經典！【親筆簽名版】,具竝模,優惠價：79折300元,tops,2024-08-05 11:41:13,topsales,79,300
7,01,38,記得有人愛著你（特贈限量透明寫字書籤柔情版）,阿旭／阿旭寫字公司,優惠價：79折284元,tops,2024-08-05 11:41:13,topsales,79,284
7,01,39,房思琪的初戀樂園,林奕含,優惠價：79折252元,tops,2024-08-05 11:41:13,topsales,79,252
7,01,40,林語堂作品精選4：蘇東坡傳【經典新版】,林語堂,優惠價：79折221元,tops,2024-08-05 11:41:13,topsales,79,221
7,01,41,工頭堅的京都時光：從飛鳥時代到昭和地景，走讀千年古都的前世今生,工頭堅,優惠價：79折434元,tops,2024-08-05 11:41:13,topsales,79,434
7,01,42,紙牌的秘密,喬斯坦．賈德,優惠價：79折221元,tops,2024-08-05 11:41:13,topsales,79,221
7,01,43,我的阿勒泰,李娟,優惠價：79折276元,tops,2024-08-05 11:41:13,topsales,79,276
7,01,44,巨流河,齊邦媛,優惠價：79折474元,tops,2024-08-05 11:41:13,topsales,79,474
7,01,45,深夜食堂 27,安倍夜郎,優惠價：79折189元,tops,2024-08-05 11:41:13,topsales,79,189
7,01,46,破唐案．裴氏手札卷五：續紅線女,雀頤,優惠價：79折300元,tops,2024-08-05 11:41:13,topsales,79,300
7,01,47,門外漢的東京,舒國治,優惠價：79折300元,tops,2024-08-05 11:41:13,topsales,79,300
7,01,48,傳奇【出版80週年限量愛藏版】：張愛玲第一本短篇小說集，傳奇再現。限量附贈「不朽傳奇」金句藏書票組！,張愛玲,優惠價：79折300元,tops,2024-08-05 11:41:13,topsales,79,300
7,01,49,四月，她將到來。【電影書衣特典版】,川村元氣,優惠價：79折284元,tops,2024-08-05 11:41:13,topsales,79,284
7,01,50,百年孤寂：首度正式授權繁體中文版！出版50週年紀念全新譯本【平裝典藏版】,加布列‧賈西亞‧馬奎斯,優惠價：79折355元,tops,2024-08-05 11:41:13,topsales,79,355
7,01,51,生命中不能承受之輕【全新版】,米蘭‧昆德拉,優惠價：79折276元,tops,2024-08-05 11:41:13,topsales,79,276
7,01,52,哈利波特【8冊合售】,J.K.羅琳,優惠價：72折3561元,tops,2024-08-05 11:41:13,topsales,72,3561
7,01,53,哈利波特魔法圖鑑：J.K. 羅琳首本哈利波特官方叢書，收錄一切魔法事物的終極圖鑑！,J.K. 羅琳,優惠價：79折789元,tops,2024-08-05 11:41:13,topsales,79,789
7,01,54,祈念之樹：守護之心（博客來獨家版）,東野圭吾,優惠價：79折371元,tops,2024-08-05 11:41:13,topsales,79,371
7,01,55,傴僂【博客來獨家雙重書封版】芥川獎得獎作品．引發評審激烈爭議的道德問題作）,市川沙央,優惠價：79折268元,tops,2024-08-05 11:41:13,topsales,79,268
7,01,56,時間跳躍的妳來自昨日【讀第一次是推理！第二次是戀愛！】,高畑京一郎,優惠價：79折331元,tops,2024-08-05 11:41:13,topsales,79,331
7,01,57,大疫之夜（諾貝爾文學獎得主帕慕克構思40年 至今最浩瀚的一部史詩巨作）,奧罕‧帕慕克,優惠價：79折592元,tops,2024-08-05 11:41:13,topsales,79,592
7,01,58,間諜海岸：亞馬遜年度推理小說選書！醫學驚悚天后泰絲．格里森最新間諜小說大作,泰絲．格里森,優惠價：79折410元,tops,2024-08-05 11:41:13,topsales,79,410
7,01,59,吉普賽新娘：西班牙最具話題性的國際級犯罪懸疑小說！編劇與作家合組超級團隊，「共筆」創作驚悚傑作，狂賣突破400.000冊！,卡門・莫拉,優惠價：79折387元,tops,2024-08-05 11:41:13,topsales,79,387
7,01,60,小王子【70周年精裝紀念版】,安東尼‧聖修伯里,優惠價：79折197元,tops,2024-08-05 11:41:13,topsales,79,197
7,01,61,哈利波特(1)：神秘的魔法石【繁體中文版20週年紀念】,J.K.羅琳,優惠價：79折331元,tops,2024-08-05 11:41:13,topsales,79,331
7,01,62,心很小 裝喜歡的事就好,黃山料,優惠價：79折331元,tops,2024-08-05 11:41:13,topsales,79,331
7,01,63,初戀販賣所【限量親簽版】,Misa,優惠價：79折252元,tops,2024-08-05 11:41:13,topsales,79,252
7,01,64,小提琴家（博客來獨家版）,泰絲．格里森,優惠價：79折323元,tops,2024-08-05 11:41:13,topsales,79,323
7,01,65,波西傑克森6：天神聖杯（限量贈送_波西特典人物板）,雷克‧萊爾頓,優惠價：79折316元,tops,2024-08-05 11:41:13,topsales,79,316
7,01,66,翠海的雀絲（喜愛蒐集茶杯的小島女孩平裝版，邪惡奇幻天才大神超凡驚豔震撼全球祕密計畫）,布蘭登．山德森,優惠價：79折473元,tops,2024-08-05 11:41:13,topsales,79,473
7,01,67,那本書是：芥川賞得主×人氣繪本作家，獻給愛書人的究極之書（附首刷限定燙金藏書票）【首刷限定版】,"又吉直樹,吉竹伸介",優惠價：79折315元,tops,2024-08-05 11:41:13,topsales,79,315
7,01,68,破空卷一～卷三套書（暢銷華文創作大神級作家，時空跳躍玄幻冒險力作）,凌淑芬,優惠價：7折837元,tops,2024-08-05 11:41:13,topsales,7,837
7,01,69,特殊清掃人,中山七里,優惠價：79折355元,tops,2024-08-05 11:41:13,topsales,79,355
7,01,70,厭世廢文觀止：英雄豪傑競靠腰，國文課本沒有教,厭世國文老師,優惠價：79折252元,tops,2024-08-05 11:41:13,topsales,79,252
