title,author,publisher,publication_date,discount,price
每天寫，重新寫，寫到最後：《不便利的便利店》韓國百萬暢銷作家生存記 (電子書),金浩然,先覺,2023-09-01,88,215
史丹佛大學創意寫作課：每一堂都是思想的交鋒，智識的探險，精采絕倫!,華樂士．史泰納,先覺,2023-08-01,9,342
史丹佛大學創意寫作課：每一堂都是思想的交鋒，智識的探險，精采絕倫! (電子書),華樂士．史泰納,先覺,2023-08-01,88,234
佐賀的超級阿嬤【暢銷1000萬本.全彩插畫珍藏版】,島田洋七,先覺,2023-08-01,79,252
佐賀的超級阿嬤【暢銷1000萬本.全彩插畫珍藏版】 (電子書),島田洋七,先覺,2023-08-01,88,197
可複製的領導力(2)：樊登的7堂管理課，讓優秀的員工自己長出來,樊登,先覺,2023-07-01,9,333
橫向思考：打破慣性，化解日常問題的不凡工具,保羅．史隆,先覺,2023-07-01,9,333
橫向思考：打破慣性，化解日常問題的不凡工具 (電子書),保羅．史隆,先覺,2023-07-01,88,227
可複製的領導力(2)：樊登的7堂管理課，讓優秀的員工自己長出來 (電子書),樊登,先覺,2023-07-01,88,227
富者的態度：關於工作、投資、關係、金錢的正確心態,J won,先覺,2023-06-01,9,342
富者的態度：關於工作、投資、關係、金錢的正確心態 (電子書),J won,先覺,2023-06-01,88,234
鎖定小眾：市場越窄，獲利越大,克里斯．卓爾,先覺,2023-05-01,9,342
鎖定小眾：市場越窄，獲利越大 (電子書),克里斯．卓爾,先覺,2023-05-01,88,234
我喜歡說話漂亮的你：觸動人心的對話溫度,金範俊,先覺,2023-04-01,79,276
極簡商業課：60天在早餐桌旁讀完商學院，學會10項關鍵商業技能,唐納．米勒,先覺,2023-04-01,79,308
極簡商業課：60天在早餐桌旁讀完商學院，學會10項關鍵商業技能 (電子書),唐納．米勒,先覺,2023-03-30,88,240
我喜歡說話漂亮的你：觸動人心的對話溫度 (電子書),金範俊,先覺,2023-03-30,,245
我可能錯了：森林智者的最後一堂人生課,"卡洛琳．班克勒,比約恩．納提科．林德布勞,納維德．莫迪里",先覺,2023-02-01,79,355
我在計程車上看到的財富風景：往上翻身與向下墜落的關鍵瞬間【隨書贈畢德歐夫祝福書籤】,畢德歐夫,先覺,2023-02-01,79,300
鄰居的植物諮商室：聊植物，談人生，竟找到最溫柔的撫慰,申惠雨,先覺,2023-02-01,79,347
鄰居的植物諮商室：聊植物，談人生，竟找到最溫柔的撫慰 (電子書),申惠雨,先覺,2023-01-18,,308
我在計程車上看到的財富風景：往上翻身與向下墜落的關鍵瞬間【電子書收錄畢德歐夫祝福書籤】 (電子書),畢德歐夫,先覺,2023-01-18,,266
我可能錯了：森林智者的最後一堂人生課 (電子書),"卡洛琳．班克勒,比約恩．納提科．林德布勞,納維德．莫迪里",先覺,2023-01-12,,315
借勢：社群時代，人人都該學的引爆流量法則,金槍大叔,先覺,2022-12-01,79,260
暢銷百萬的德國心理課：寫給在工作、愛情和人際關係中掙扎的你,"曼努埃．涂煦,福爾克．齊茲",先覺,2022-12-01,79,339
暢銷百萬的德國心理課：寫給在工作、愛情和人際關係中掙扎的你 (電子書),"曼努埃．涂煦,福爾克．齊茲",先覺,2022-12-01,,301
加密貨幣的真相：揭穿區塊鏈無本金融的國王新衣,曲建仲（曲博）,先覺,2022-11-09,9,369
加密貨幣的真相：揭穿區塊鏈無本金融的國王新衣 (電子書),曲建仲（曲博）,先覺,2022-11-09,,287
佛畏系統：洞察事物背後的規則，在不確定時代做出對的選擇,萬維鋼,先覺,2022-11-01,79,300
更快樂的1小時：UCLA爆紅的時間幸福學，教你聚焦於最重要的事,凱西．霍姆斯,先覺,2022-11-01,9,369
更快樂的1小時：UCLA爆紅的時間幸福學，教你聚焦於最重要的事 (電子書),凱西．霍姆斯,先覺,2022-11-01,,287
叫賣竹竿的小販為什麼不會倒?：投資理財前，非學不可的會計入門與金錢知識【暢銷經典版】,山田真哉,先覺,2022-09-01,9,279
叫賣竹竿的小販為什麼不會倒?：投資理財前，非學不可的會計入門與金錢知識【暢銷經典版】 (電子書),山田真哉,先覺,2022-09-01,,217
追劇商戰：解密Netflix、迪士尼、蘋果、華納、亞馬遜的串流市場瘋狂爭霸,"彤恩・施莫洛斯基,戴德・海耶斯",先覺,2022-09-01,9,441
追劇商戰：解密Netflix、迪士尼、蘋果、華納、亞馬遜的串流市場瘋狂爭霸 (電子書),"彤恩・施莫洛斯基,戴德・海耶斯",先覺,2022-09-01,,343
理性的非理性：10個行為經濟學關鍵字，工作、戀愛、投資、人生難題最明智的建議,"蘇丹,鄭毓煌",先覺,2022-08-01,9,333
理性的非理性：10個行為經濟學關鍵字，工作、戀愛、投資、人生難題最明智的建議 (電子書),"蘇丹,鄭毓煌",先覺,2022-08-01,,259
金錢整理：只要收拾存摺、冰箱和另一半，錢會自然流向你 (電子書),市居愛,先覺,2022-08-01,,175
焦慮的投資人：戰勝恐懼、貪婪、希望和無知，充分利用金錢創造財富,史考特．納遜斯,先覺,2022-08-01,66,277
焦慮的投資人：戰勝恐懼、貪婪、希望和無知，充分利用金錢創造財富 (電子書),史考特．納遜斯,先覺,2022-08-01,,294
為自己再勇敢一次：矽谷阿雅的職場不死鳥蛻變心法,鄭雅慈,先覺,2022-07-06,9,369
為自己再勇敢一次：矽谷阿雅的職場不死鳥蛻變心法 (電子書),鄭雅慈,先覺,2022-07-06,,287
A大的理財金律：從零存款開始也能越過越好【1書+1夢想筆記本】,A大（ameryu）,先覺,2022-06-01,79,323
全方位理財的第一堂課：你一生必學的五大財務規畫,闕又上,先覺,2022-06-01,79,347
達標：芝大商學院教授親授，意想不到的激勵課,艾雅蕾．費雪巴赫,先覺,2022-06-01,9,396
達標：芝大商學院教授親授，意想不到的激勵課 (電子書),艾雅蕾．費雪巴赫,先覺,2022-06-01,,308
全方位理財的第一堂課：你一生必學的五大財務規畫 (電子書),闕又上,先覺,2022-06-01,88,271
A大的理財金律：從零存款開始也能越過越好【1書+1夢想筆記本】 (電子書),A大（ameryu）,先覺,2022-06-01,,287
最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵,畢德歐夫,先覺,2022-05-01,79,276
最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵 (電子書),畢德歐夫,先覺,2022-05-01,,245
選擇，不只是選擇：全美決策領域最知名教授，告訴你選項背後的隱藏力量,艾瑞克・J・強森,先覺,2022-04-01,9,405
選擇，不只是選擇：全美決策領域最知名教授，告訴你選項背後的隱藏力量 (電子書),艾瑞克・J・強森,先覺,2022-04-01,,315
金錢的另一端是「人」：高盛前交易員教你大人、小孩都看得懂的幸福經濟學,田內學,先覺,2022-04-01,9,315
金錢的另一端是「人」：高盛前交易員教你大人、小孩都看得懂的幸福經濟學 (電子書),田內學,先覺,2022-04-01,,245
為什麼他投資一直賺大錢?：全球金融學校的散戶獲利方程式,"全球金融學校,市川雄一郎",先覺,2022-03-01,9,315
破圈：撕下標籤與人設，人生原來真的有捷徑,顧及,先覺,2022-03-01,9,324
破圈：撕下標籤與人設，人生原來真的有捷徑 (電子書),顧及,先覺,2022-03-01,88,220
為什麼他投資一直賺大錢?：全球金融學校的散戶獲利方程式 (電子書),"全球金融學校,市川雄一郎",先覺,2022-03-01,,245
富人不說，卻默默在做的33件事【暢銷經典版】,延埈赫,先覺,2022-02-01,9,306
富人不說，卻默默在做的33件事【暢銷經典版】 (電子書),延埈赫,先覺,2022-02-01,,238
內在驅動力：不需外在獎勵和誘因，引燃700萬人生命變革的關鍵力量,薩拉斯．吉凡,先覺,2022-02-01,9,360
內在驅動力：不需外在獎勵和誘因，引燃700萬人生命變革的關鍵力量 (電子書),薩拉斯．吉凡,先覺,2022-02-01,,280
劉必榮談判精華課：33年經驗集大成，上過這堂課，視野、思維無限寬廣,劉必榮,先覺,2022-01-01,79,363
劉必榮談判精華課：33年經驗集大成，上過這堂課，視野、思維無限寬廣 (電子書),劉必榮,先覺,2022-01-01,88,283
康乃爾最經典的思考邏輯課(暢銷典藏版)：避開六大謬誤，資訊時代必備的理性判斷工具,湯瑪斯．吉洛維奇,先覺,2021-12-01,9,279
康乃爾最經典的思考邏輯課(暢銷典藏版)：避開六大謬誤，資訊時代必備的理性判斷工具 (電子書),湯瑪斯．吉洛維奇,先覺,2021-12-01,,217
學習不會背叛你：首爾大學畢業生最受用的一堂課,金英敏,先覺,2021-11-01,9,378
學習不會背叛你：首爾大學畢業生最受用的一堂課 (電子書),金英敏,先覺,2021-11-01,,294
圖解史丹佛大學的自我改變課：97%學員認證，輕鬆駕馭意志力【實踐版】,凱莉．麥高尼格,先覺,2021-10-01,9,243
輕鬆駕馭意志力(暢銷10年紀念新版)：史丹佛大學最受歡迎的心理素質課,凱莉．麥高尼格,先覺,2021-10-01,9,333
圖解史丹佛大學的自我改變課：97%學員認證，輕鬆駕馭意志力【實踐版】 (電子書),凱莉．麥高尼格,先覺,2021-10-01,,189
輕鬆駕馭意志力(暢銷10年紀念新版)：史丹佛大學最受歡迎的心理素質課 (電子書),凱莉．麥高尼格,先覺,2021-10-01,88,227
減法的力量：全美最啟迪人心的跨領域教授，帶你發現｢少，才更好｣,雷迪．克羅茲,先覺,2021-09-01,9,378
減法的力量：全美最啟迪人心的跨領域教授，帶你發現｢少，才更好｣ (電子書),雷迪．克羅茲,先覺,2021-09-01,,294
更富有、更睿智、更快樂：投資大師奉行的致富金律,威廉．格林,先覺,2021-08-01,79,363
更富有、更睿智、更快樂：投資大師奉行的致富金律 (電子書),威廉．格林,先覺,2021-08-01,,322
人際網絡解密：史丹佛教授剖析，你在人群中的位置，如何決定你的未來,馬修．傑克森,先覺,2021-07-01,79,379
談判是無限賽局：上千企業指定名師教你創造長久利益的123法則,李思恩,先覺,2021-07-01,66,224
人際網絡解密：史丹佛教授剖析，你在人群中的位置，如何決定你的未來 (電子書),馬修．傑克森,先覺,2021-07-01,,336
談判是無限賽局：上千企業指定名師教你創造長久利益的123法則 (電子書),李思恩,先覺,2021-07-01,,238
史丹佛人際動力學：連開50年的課，教你好關係從真情流露開始,"凱蘿．羅賓,大衛．布雷弗德",先覺,2021-06-01,66,290
史丹佛人際動力學：連開50年的課，教你好關係從真情流露開始 (電子書),"凱蘿．羅賓,大衛．布雷弗德",先覺,2021-06-01,88,271
寫給忙碌父母的育兒百事：一本搞定，專家認證有效，對孩子最重要!,加藤紀子,先覺,2021-06-01,9,387
寫給忙碌父母的育兒百事：一本搞定，專家認證有效，對孩子最重要! (電子書),加藤紀子,先覺,2021-06-01,,301
也許你該跟未來學家談談：一堂前所未見的人生規畫課，所有問題你都可以問,布萊恩‧大衛‧強森,先覺,2021-05-01,9,342
40歲，精采人生才開始：從1萬人的經驗談看見真正該做的事,大塚壽,先覺,2021-05-01,9,315
40歲，精采人生才開始：從1萬人的經驗談看見真正該做的事 (電子書),大塚壽,先覺,2021-05-01,88,215
也許你該跟未來學家談談：一堂前所未見的人生規畫課，所有問題你都可以問 (電子書),布萊恩‧大衛‧強森,先覺,2021-05-01,,266
圖像思考的練習：這樣做，推動10億生意、調解糾紛、做出成果,平井孝志,先覺,2021-04-01,9,324
