title,author,publisher,publication_date,discount,price
你的心，就讓植物來療癒：劍橋出身的心理師帶你以自然與園藝，穩定內在、修復創傷,蘇・史都華－史密斯,究竟,2021-04-01,79,339
你的心，就讓植物來療癒：劍橋出身的心理師帶你以自然與園藝，穩定內在、修復創傷 (電子書),蘇・史都華－史密斯,究竟,2021-04-01,,301
你不需治療，只需說出口：心理師和那群拯救我的人,克莉絲蒂・塔特,究竟,2021-03-03,7,273
你不需治療，只需說出口：心理師和那群拯救我的人 (電子書),克莉絲蒂・塔特,究竟,2021-03-03,,273
上游思維：在問題發生前解決的根治之道,丹．希思,究竟,2021-03-03,9,342
上游思維：在問題發生前解決的根治之道 (電子書),丹．希思,究竟,2021-03-03,,266
穩：學會接住自己，為不安人生解套的4堂課,加藤諦三,究竟,2021-02-01,7,203
穩：學會接住自己，為不安人生解套的4堂課 (電子書),加藤諦三,究竟,2021-02-01,,203
任何人都適用的完美學習法 (電子書),"申榮俊,高榮成",究竟,2021-01-01,,280
自信的躍進：不再恐懼、退縮、焦慮的關鍵 (電子書),沙爾．貝班,究竟,2021-01-01,,196
任何人都適用的完美學習法,"申榮俊,高榮成",究竟,2021-01-01,9,360
自信的躍進：不再恐懼、退縮、焦慮的關鍵,沙爾．貝班,究竟,2021-01-01,9,252
遇見完形的我：用覺察、選擇、責任與自己和好，解鎖人生難題 (電子書),曹中瑋,究竟,2020-12-01,,250
遇見完形的我：用覺察、選擇、責任與自己和好，解鎖人生難題,曹中瑋,究竟,2020-12-01,79,284
文青這種生物，自古就有：17段隱藏在史籍和作品背後的奇葩人生,江仲淵,究竟,2020-12-01,9,279
文青這種生物，自古就有：17段隱藏在史籍和作品背後的奇葩人生 (電子書),江仲淵,究竟,2020-12-01,,217
像火箭科學家一樣思考：9大策略，翻轉你的事業與人生,歐贊‧瓦羅,究竟,2020-11-01,9,405
厭世國文教室：古文青生涯檔案,厭世國文老師,究竟,2020-11-01,79,268
厭世國文教室：古文青生涯檔案 (電子書),厭世國文老師,究竟,2020-11-01,,238
像火箭科學家一樣思考：9大策略，翻轉你的事業與人生 (電子書),歐贊‧瓦羅,究竟,2020-11-01,,315
哲學與宗教全史：人類三千年的思考之旅 (電子書),出口治明,究竟,2020-10-01,,301
哲學與宗教全史：人類三千年的思考之旅,出口治明,究竟,2020-10-01,9,387
內疚清理練習：寫給經常苛責自己的你,伊麗絲‧桑德,究竟,2020-10-01,79,237
內疚清理練習：寫給經常苛責自己的你 (電子書),伊麗絲‧桑德,究竟,2020-10-01,,210
人生賽局：我如何學習專注、掌握先機、贏得勝利,瑪莉亞．柯妮可娃,究竟,2020-09-01,9,333
人生賽局：我如何學習專注、掌握先機、贏得勝利 (電子書),瑪莉亞．柯妮可娃,究竟,2020-09-01,,259
了不起的我：0到99歲適用，自我發展的心理學,陳海賢,究竟,2020-08-01,9,306
有病的其實是我媽，卻要我去諮商：寫給青少年和家長的心理圖文書,"大衛・古席翁,穆佐",究竟,2020-08-01,79,237
有病的其實是我媽，卻要我去諮商：寫給青少年和家長的心理圖文書 (電子書),"大衛・古席翁,穆佐",究竟,2020-08-01,,210
象與騎象人：全球百大思想家的正向心理學經典,強納森．海德,究竟,2020-07-01,79,308
奇蹟公式：我三星期從半身不遂中站起，一年抗癌成功，從破產到財富自由的關鍵,哈爾．埃爾羅德,究竟,2020-07-01,9,288
象與騎象人：全球百大思想家的正向心理學經典 (電子書),強納森．海德,究竟,2020-07-01,,273
奇蹟公式：我三星期從半身不遂中站起，一年抗癌成功，從破產到財富自由的關鍵 (電子書),哈爾．埃爾羅德,究竟,2020-07-01,,224
獅子吃素的那一天：如何搞定強勢的人? (電子書),拉斐爾．喬丹奴,究竟,2020-06-01,,266
獅子吃素的那一天：如何搞定強勢的人?,拉斐爾．喬丹奴,究竟,2020-06-01,9,342
文章寫得又快又好，九宮格寫作術,山口拓朗,究竟,2020-06-01,79,221
文章寫得又快又好，九宮格寫作術 (電子書),山口拓朗,究竟,2020-06-01,,196
就算腦子一片空白，也能說出花來：5天學會即思即說力 (電子書),Hikita Yoshiaki,究竟,2020-05-05,,203
就算腦子一片空白，也能說出花來： 5天學會即思即說力,Hikita Yoshiaki,究竟,2020-05-01,66,191
真正的快樂處方：瑞典國民書!腦科學實證的健康生活提案,安德斯・韓森,究竟,2020-05-01,9,306
真正的快樂處方：瑞典國民書!腦科學實證的健康生活提案 (電子書),安德斯・韓森,究竟,2020-05-01,,238
理智斷線：不暴走，不傷人，最科學的有益發怒法,中野信子,究竟,2020-04-01,7,189
