title,author,publisher,publication_date,discount,price
帶你爽吃美食又能瘦，才是營養師!：鹹酥雞?手搖飲?下午茶?2.5秒選對吃!,Emma周佑庭,如何,2019-08-01,9,324
帶你爽吃美食又能瘦，才是營養師!：鹹酥雞?手搖飲?下午茶?2.5秒選對吃! (電子書),Emma周佑庭,如何,2019-08-01,,250
Jean老師光速英語：20小時聽懂、敢說!英語不再難開口,Jean老師,如何,2019-07-01,9,270
代謝力UP減醣好好：體重輕鬆瘦，體脂降10%的升級版技巧,娜塔,如何,2019-07-01,79,284
代謝力UP減醣好好：體重輕鬆瘦，體脂降10%的升級版技巧 (電子書),娜塔,如何,2019-07-01,,250
Jean老師光速英語：20小時聽懂、敢說!英語不再難開口 (電子書),Jean老師,如何,2019-07-01,,210
看過38萬人屁股的名醫教你在家治好痔瘡,平田雅彥,如何,2019-06-01,9,261
真實尺寸的古生物圖鑑˙古生代篇,土屋健,如何,2019-06-01,7,371
會走路的翻譯機，神級英文學習攻略本 (電子書),浩爾（簡德浩）,如何,2019-05-01,,196
會走路的翻譯機，神級英文學習攻略本,浩爾（簡德浩）,如何,2019-05-01,79,221
打電話就賣3億：講對了，什麼都能賣，傳奇業務的高成交話術,淺川智仁,如何,2019-05-01,66,191
寫給生命的情書：暖心名醫告訴你，對抗病魔時真正重要的事 (電子書),江坤俊,如何,2019-04-01,,196
寫給生命的情書：暖心名醫告訴你，對抗病魔時真正重要的事,江坤俊,如何,2019-04-01,9,252
癌症全方位建議：讓我告訴你，從預防治療到飲食營養的照護指南 (電子書),賴易成,如何,2019-03-01,,245
癌症全方位建議：讓我告訴你，從預防治療到飲食營養的照護指南,賴易成,如何,2019-03-01,9,315
超級嬰兒通實作篇：天才保母的零到三歲E‧A‧S‧Y 育兒法,"崔西‧霍格,梅琳達‧貝樂",如何,2019-03-01,79,331
超級嬰兒通實作篇：天才保母的零到三歲E˙A˙S˙Y 育兒法 (電子書),"崔西‧霍格,梅琳達‧貝樂",如何,2019-03-01,,294
寫作革命：散文、小說、文案、社群貼文輕鬆進階的40道練習題,李洛克,如何,2019-01-01,9,261
適合你的，世界上唯一的學習法：1300位後段班學生成功逆轉人生的讀書戰略,坪田信貴,如何,2019-01-01,66,171
寫作革命：散文、小說、文案、社群貼文輕鬆進階的40道練習題 (電子書),李洛克,如何,2019-01-01,,203
週末熱炒店的編劇課：零經驗也學得會!前所未見的小說式編劇教學書,東默農,如何,2018-12-01,9,288
週末熱炒店的編劇課：零經驗也學得會!前所未見的小說式編劇教學書 (電子書),東默農,如何,2018-12-01,,224
情緒界線：孩子人生必備的競爭力,賴宇凡,如何,2018-11-01,9,369
蔡康永的情商課：為你自己活一次,蔡康永,如何,2018-11-01,79,276
日語最強相關用語：王可樂教室嚴選!表達力‧語彙量一次滿足(附「相關用語」收聽QRCode),"原田千春,王可樂",如何,2018-10-08,9,468
日語最強相關用語：王可樂教室嚴選!表達力˙語彙量一次滿足(附「相關用語」收聽QRCode) (電子書),"原田千春,王可樂",如何,2018-10-08,,364
無痛退休：戰勝年改、對抗通膨，活到90歲也不怕的實用理財術 (電子書),"廖義榮,高震宇",如何,2018-10-01,,231
無痛退休：戰勝年改、對抗通膨，活到90歲也不怕的實用理財術,"廖義榮,高震宇",如何,2018-10-01,7,231
正解!脊椎側彎的真相：寫給60萬人的自我檢測與矯正法,李容霆,如何,2018-08-01,9,279
正解!脊椎側彎的真相：寫給60萬人的自我檢測與矯正法 (電子書),李容霆,如何,2018-08-01,,217
一開口撩人又聊心：被異性喜歡，被同性肯定，不冷場、不辭窮、不尷尬、不被句點的人際互動課,瑪那熊,如何,2018-07-01,79,237
